Crisis Pregnancy Center,Street Address,City,State,Zip,Affiliation,Website,Advertises APR?,Facebook,Twitter,Google+,YouTube,Pinterest,Instagram,LinkedIn
COLLAGE CENTER - KEARNEY,"3000 2nd Avenue, Suite #100",Kearney,NE,68847,Heartbeat International,http://collagecenter.com/,Yes,https://www.facebook.com/CollageCenter,https://twitter.com/CollageCenter,,,,https://www.instagram.com/collage_center/,
BIRTHRIGHT OF LINCOLN,"5626 O Street, Suite #4",Lincoln,NE,68510,Birthright International,http://birthright.org/en/landingpage/lp-lincoln,,,,,,,,
PREGNANCY CENTER,111 Piazza Terrace,Lincoln,NE,68510,Care Net,http://pregnancycenterlincoln.org/,,https://www.facebook.com/pregnancycenterlincoln?fref=ts,https://twitter.com/LincolnChoice,,,,,
ABC PREGNANCY HELP CENTER,"110 W C St, McCook, NE",McCook,NE,69001,Heartbeat International,,Yes,https://www.facebook.com/ABC-Pregnancy-Help-Center-McCook-NE-168427559834373/timeline/,,,,,,
BIRTHRIGHT OF NORFOLK,"109 North 15th Street, Suite #11",Norfolk,NE,68701,Birthright International,http://birthright.org/en/landingpage/lp-norfolkne,,,,,,,,
WOMEN'S RESOURCE CENTER,316 East Front Street,North Platte,NE,69101,Care Net,http://www.pregnancynorthplatte.com/,,,,,,,,
OGALLALA WOMEN'S RESOURCE CENTER,"1008 West 1st Street, Suite #1",Ogallala,NE,69153,,http://hopeinnebraska.com/,,,,,,,,
ASSURE WOMEN'S CENTER - NORTH,6510 Sorensen Parkway,Omaha,NE,68152,Heartbeat International,https://assureomaha.com/,Yes,https://www.facebook.com/AssureWomensCenter/,,,,,,
ASSURE WOMEN'S CENTER - WEST,"14225 Dayton Circle, Suite #1",Omaha,NE,68137,Heartbeat International,https://assureomaha.com/,Yes,https://www.facebook.com/AssureWomensCenter/,,,,,,
BETHANY CHRISTIAN SERVICES - OMAHA,"11319 P Street, Suite #5",Omaha,NE,68137,Heartbeat International,https://www.bethany.org/omaha,Yes,,,,,,,
ESSENTIAL PREGNANCY SERVICES - BENTON,6220 Maple Street,Omaha,NE,68104,Heartbeat International,http://www.essentialps.org/index.php,Yes,,,,,,,
ESSENTIAL PREGNANCY SERVICES - MAPLE VILLAGE,3029 North 93rd Street,Omaha,NE,68134,Heartbeat International,http://www.essentialps.org/index.php,Yes,,,,,,,
THE HUMBLE LILY,"2580 South 90th Street, Suite #1",Omaha,NE,68124,,http://www.bethlehemhouseomaha.org/,,https://www.facebook.com/BethlehemHouseOmaha/?ref=bookmarks,https://twitter.com/bethlehemhouseo,,,,,
BIRTHRIGHT OF SCOTTSBLUFF,10 East 17th Street,Scottsbluff,NE,69361,Birthright International,http://birthright.org/en/landingpage/lp-scottsbluff,,,,,,,,
HOPE PREGNANCY CENTER,1109 Washington Street,Superior,NE,68978,,http://www.superiorhope.org/,,,,,,,,
YORK CRISIS PREGNANCY CENTER,"613 North Grant Avenue, Suite 1A",York,NE,68467,,http://www.yorkcpc.com/,,,,,,,,
LIFE CHOICES COMMUNITY PREGNANCY CLINIC,"1201 North Stewart Street, Suite #110",Carson City,NV,89706,Care Net,http://www.communitypregnancycenter.com/,,,,,,,,
"CARE NET PREGNANCY CARE CENTER OF CHURCHILL COUNTY, INC.",75 North Ada Street,Fallon,NV,89406,Care Net,http://www.CareNetpcc.org/,,,,,,,,
FIRST CHOICE PREGNANCY SERVICES,860 East Sahara Avenue,Las Vegas,NV,89104,Heartbeat International,https://www.firstchoicefriendslv.org/,Yes,https://www.facebook.com/fcpsfriendslv/,https://twitter.com/fcps_friends,,,,https://www.instagram.com/fcps_friends/,
WOMEN'S RESOURCE MEDICAL CENTERS OF SOUTHERN NEVADA,"2915 West Charleston Boulevard, Suite #1",Las Vegas,NV,89102,Care Net,http://www.wrmcsn.com/,,,,,,,,
FIRST CHOICE PREGNANCY CENTER,"1601 East Basin Avenue, Suite #303",Pahrump,NV,89060,Care Net,https://pregnancypahrump.com/,,,,,,,,
CRISIS PREGNANCY CENTER - RENO,853 Haskell Street,Reno,NV,89509,Care Net,http://crisispregnancyreno.com/,,https://www.facebook.com/Reno-Crisis-Pregnancy-Center-66179658712/,,,https://www.youtube.com/channel/UCy8cmaVfBBHI36zUpFa78GQ,,,
PATHWAYS PREGNANCY CARE CENTER - BERLIN,593 Sullivan Street,Berlin,NH,3570,,http://www.pathwayscarecenter.org/,,https://www.facebook.com/Pathways-Pregnancy-Care-Center-131942103572142/,,,,,,
BETHANY CHRISTIAN SERVICES - CANDIA,183 High Street,Candia,NH,3034,Heartbeat International,https://www.bethany.org/candia,Yes,,,,,,,
PREGNANCY CENTER OF THE UPPER VALLEY - CLAREMONT,24 Tremont Square,Claremont,NH,3743,,http://www.pregnancycenteruppervalley.com/,,https://www.facebook.com/pregnancycenteruv,,,,,,
CARE NET PREGNANCY CENTER OF GREATER CONCORD,7 Greenwood Avenue,Concord,NH,3301,Care Net,http://www.CareNetconcord.com/,,,,,,,,
BIRTHRIGHT OF DERRY,"37 Crystal Avenue, Unit #10",Derry,NH,3038,Birthright International,http://birthright.org/en/landingpage/lp-derry,,,,,,,,
OPTIONS PREGNANCY & SEXUAL HEALTH RESOURCES,65 Main Street,Dover,NH,3820,,http://optionsforwomen.org/,,,,,,,,
PREGNANCY RESOURCE CENTER OF THE MONADNOCK REGION,100 Washington Street,Keene,NH,3431,Care Net,http://www.pregnancyresourcekeene.org/,,,,,,,,
ASPIRE WOMEN'S CENTER,506 Union Avenue,Laconia,NH,3246,,http://aspirelaconia.org/,,,,,,,,
PATHWAYS PREGNANCY CARE CENTER - LITTLELON,70 Redington Street,Littleton,NH,3561,,http://www.pathwayscarecenter.org/,,,,,,,,
BIRTHRIGHT OF MANCHESTER,247 South Main Street,Manchester,NH,3102,Birthright International,http://birthright.org/en/landingpage/lp-manchester,,,,,,,,
CARE NET PREGNANCY CENTER OF MANCHESTER & NASHUA - MANCHESTER,"50 Bridge Street, Suite #307",Manchester,NH,3101,Care Net,http://CareNetnh.org/,,,,,,,,
PENNACOOK PREGNANCY CENTER,657B Chestnut Street,Manchester,NH,3104,Heartbeat International,https://www.pennacookpregnancy.org/,Yes,https://www.facebook.com/nhpregnancyhelp/,,,,,,
CARE NET PREGNANCY CENTER OF MANCHESTER & NASHUA - NASHUA,110 Main Street,Nashua,NH,3060,,http://CareNetnh.org/,,,,,,,,
HAVEN PREGNANCY SERVICES,81-A Highland Street,Plymouth,NH,3264,Care Net,http://www.pregnant-help.com/,,,,,,,,
BIRTHRIGHT OF PORTSMOUTH,323 Islington Street,Portsmouth,NH,3801,Birthright International,http://birthright.org/portsmouthnh.html,,,,,,,,
PREGNANCY CENTER OF THE UPPER VALLEY - WEST LEBANON,"1 South Main Street, Suite #2",West Lebanon,NH,3784,,http://www.pregnancycenteruppervalley.com/,,https://www.facebook.com/pregnancycenteruv,,,,,,
BIRTHRIGHT OF BARNEGAT,819 West Bay Avenue,Barnegat,NJ,8005,Birthright International,http://birthright.org/en/landingpage/lp-barnegat,,,,,,,,
CORNERSTONE WOMEN'S RESOURCE CENTERS - SALEM COUNTY,"15 Cornwell Dr, (Lot - Mobile Unit)",Bridgeton,NJ,8302,Heartbeat International,http://www.cornerstonewrc.org/,Yes,https://facebook.com/Cornerstone.South.Jersey,,,,,https://instagram.com/p/BXN1_Hwgj8X/,
DESTINATION CHOICE,402 Kings Hwy N,Cherry Hill,NJ,8034,,https://choicesoftheheart.com/,,https://www.facebook.com/choicesheart,https://twitter.com/ChoicesNJ,,,,https://www.instagram.com/choicesheart/,
GOLDEN CRADLE,95 West Gate Drive,Cherry Hill,NJ,8034,,https://goldencradle.org/,,https://www.facebook.com/goldencradleadoptionservices/,,,,,https://www.instagram.com/goldencradleadoption/,
OPTIONS FOR WOMEN,"1500 North Kings Highway, Suite #110",Cherry Hill,NJ,8034,,http://optionsnj.org/,,https://www.facebook.com/optionsforwomencherryhill,https://twitter.com/OptionsforWomen,,https://www.youtube.com/user/OptionsforWomenNJ,,,
BIRTHRIGHT OF DOVER,19-20 Corner Belmont & Trenton Street,Dover,NJ,7801,Birthright International,http://birthright.org/en/landingpage/lp-dover,,,,,,,,
CRISIS PREGNANCY SERVICES,1307 White Horse Pike,Egg Harbor City,NJ,8215,,https://crisispregnancyservice.wordpress.com/,,https://www.facebook.com/CrisisPregnancyService,,,,,,
GATEWAY PREGNANCY CENTER - ELIZABETH,"65 Jefferson Avenue, Suite #403",Elizabeth,NJ,7201,Heartbeat International,https://gateway.org/,Yes,,,,,,,
OUR GIFT OF HOPE,"15 Engle Street, Suite 302",Englewood,NJ,7631,,http://www.ourgiftofhope.org/index.html,,,,,,,,
BETHANY CHRISTIAN SERVICES FAIR LAWN,12-19 River Road,Fair Lawn,New,Jersey,Bethany Christian Services,https://bethany.org/locations/us/new-jersey/fair-lawn,,,,,,,,
FRIENDSHIP CENTER FOR NEW BEGINNINGS,162 Main Street,Flemington,NJ,8822,Care Net,https://www.choiceonepartners.org/,,,,,,,,
BIRTHRIGHT OF FREEHOLD,"49 East Main Street, Suite #1",Freehold,NJ,7728,Birthright International,http://birthright.org/en/landingpage/lp-freehold,,,,,,,,
DESTINATION CHOICE,201 William Dalton Dr,Glassboro,NJ,8028,,https://choicesoftheheart.com/,,https://www.facebook.com/choicesheart,https://twitter.com/ChoicesNJ,,,,https://www.instagram.com/choicesheart/,
LIGHTHOUSE PREGNANCY RESOURCE CENTER - HACKENSACK,809 Main Street,Hackensack,NJ,7601,Heartbeat International,http://lighthouseprc.org/,Yes,,,,,,,
CARE NET PREGNANCY RESOURCES OF WARREN COUNTY,326 Washington Street,Hackettstown,NJ,7840,Care Net,http://options4women.com/,,,,,,,,
GATEWAY PREGNANCY CENTER - IRVINGTON,960 Springfield Avenue,Irvington,NJ,7111,Heartbeat International,https://gateway.org/,Yes,,,,,,,
FIRST CHOICE WOMEN'S RESOURCE CENTERS - JERSEY CITY,10 Paterson Street,Jersey City,NJ,7307,Care Net,http://www.1stchoice.org/,,,,,,,,
MYCHOICEONE PREGNANCY + SEXUAL HEALTH RESOURCE CENTERS - LAWRENCEVILLE,1764 Brunswick Avenue,Lawrenceville,NJ,8648,Care Net,http://mychoiceone.info/,,,,,,,,
BIRTHRIGHT OF BERGEN COUNTY,19 West Pleasant Avenue,Maywood,NJ,7607,Birthright International,http://birthright.org/en/landingpage/lp-maywood,,,,,,,,
CHOICES OPTIONS FOR WOMEN'S HEALTH,503 Main Street,Metuchen,NJ,8840,Heartbeat International,http://www.choicesoptionsforwomen.com/,Yes,,,,,,,
CORNERSTONE WOMEN'S RESOURCE CENTERS - SALEM COUNTY,1200 N 2nd St. (Lot - Mobile Unit),Millville,NJ,8332,Heartbeat International,http://www.cornerstonewrc.org/,Yes,https://facebook.com/Cornerstone.South.Jersey,,,,,https://instagram.com/p/BXN1_Hwgj8X/,
FIRST CHOICE WOMEN'S RESOURCE CENTERS - MONTCLAIR,180 Bloomfield Avenue,Montclair,NJ,7042,Care Net,http://www.1stchoice.org/,,,,,,,,
FIRST CHOICE WOMEN'S RESOURCE CENTERS - MORRISTOWN,82 Speedwell Avenue,Morristown,NJ,7960,Care Net,http://www.1stchoice.org/,,,,,,,,
FIRST CHOICE WOMEN'S RESOURCE CENTERS - NEWARK,35 Halsey Street,Newark,NJ,7102,Care Net,http://www.1stchoice.org/,,,,,,,,
ACTION PREGNANCY CENTER,"93 Bayard Street, Suite B",New Brunswick,NJ,8901,,http://www.actionpregnancy.com/,,,,,,,,
TODAY'S CHOICE PREGNANCY RESOURCE CENTER,43 Trinity Street,Newton,NJ,7860,Care Net,http://www.todayschoice.org/,,,,,,,,
HOPE PREGNANCY CENTER - OCEAN CITY,123 Fishing Creek Rd,North Cape May,NJ,8204,Care Net,http://www.hopepregnancycenternj.org/,,https://www.facebook.com/hopepcnj/,https://twitter.com/HopePregnancyNJ,,,,,
HOPE PREGNANCY CENTER - OCEAN CITY,321 West Avenue,Ocean City,NJ,8226,Care Net,http://www.hopepregnancycenternj.org/,,https://www.facebook.com/hopepcnj/,https://twitter.com/HopePregnancyNJ,,,,,
ABBA PREGNANCY CENTER,257 West Broad Street,Palmyra,NJ,8065,,https://www.abbapregnancy.org/index.html,,,,,,,,
LIGHTHOUSE PREGNANCY RESOURCE CENTER - PATERSON,75 Ellison Street,Paterson,NJ,7505,Heartbeat International,http://lighthouseprc.org/,Yes,,,,,,,
CORNERSTONE WOMEN'S RESOURCE CENTERS - SALEM COUNTY,"233 S Broadway, (Lot-Mobile Unit)",Pennsville,NJ,8070,Heartbeat International,http://www.cornerstonewrc.org/,Yes,https://facebook.com/Cornerstone.South.Jersey,,,,,https://instagram.com/p/BXN1_Hwgj8X/,
GOOD NEWS CRISIS PREGNANCY CENTER,"313 State Street, Suite #403",Perth Amboy,NJ,8861,,http://www.gncpctr.org/,,,,,,,,
"LIFE CHOICES, INC. ",411 Main Street,Phillipsburg,NJ,8865,Heartbeat International,http://www.lifechoicesonline.org/,Yes,,,,,,,
LIFE CHOICES WOMEN'S HEALTH CENTER,158 South Main Street,Phillipsburg,NJ,8865,Heartbeat International,http://www.lifechoicesmedical.org/,Yes,,,,,,,
FIRST CHOICE WOMEN'S RESOURCE CENTERS - PLAINFIELD,211 West Front Street,Plainfield,NJ,7060,Care Net,http://www.1stchoice.org/,,,,,,,,
PREGNANCY AID & INFORMATION CENTER,59 Thompson Street,Raritan,NJ,8869,,,,https://www.facebook.com/PACRaritan,,,,,,
BIRTHRIGHT OF RED BANK,294 Broad Street,Red Bank,NJ,7701,Birthright International,http://birthright.org/en/landingpage/lp-redbank,,,,,,,,
HOPE PREGNANCY CENTER - RIO GRANDE,1508 Route 47,Rio Grande,NJ,8242,,http://www.hopepregnancycenternj.org/,,https://www.facebook.com/Hope-Pregnancy-Center-148917751879106/?filter=12,,,,,,
CORNERSTONE WOMEN'S RESOURCE CENTERS - SALEM COUNTY,567 Salem-Quinton Road,Salem,NJ,8079,Heartbeat International,http://www.cornerstonewrc.org/,Yes,https://facebook.com/Cornerstone.South.Jersey,,,,,https://instagram.com/p/BXN1_Hwgj8X/,
SOLUTIONS PREGNANCY & HEALTH CENTER,837 Broad Street,Shrewsbury,NJ,7702,Care Net,http://solutionsphc.com/,,https://www.facebook.com/SolutionsHPC/,,,,,https://www.instagram.com/solutionshpc/,
LOVING ARMS MINISTRY,32 Main Street,Sparta,NJ,7871,,,,,,,,,,
BIRTHRIGHT OF TOMS RIVER,10 Lafayette Avenue,Toms River,NJ,8753,Birthright International,http://birthright.org/en/landingpage/lp-tomsriver,,,,,,,,
THE OPEN DOOR PREGNANCY CENTER,533 Lakehurst Road,Toms River,NJ,8755,Care Net,http://www.theopendoor.com/,,,,,,,,
CHOICES OF THE HEART NETWORK,"108 Greentree Road, Suites LM",Turnersville,NJ,8012,Heartbeat International,http://choicesoftheheart.com/,Yes,,,,,,,
CORNERSTONE WOMEN'S RESOURCE CENTERS - SALEM COUNTY,"1070 W Landis Ave, (Lot - Mobile Unit)", Vineland,NJ,8360,Heartbeat International,http://www.cornerstonewrc.org/,Yes,https://facebook.com/Cornerstone.South.Jersey,,,,,https://instagram.com/p/BXN1_Hwgj8X/,
LIGHTHOUSE PREGNANCY RESOURCE CENTER - WAYNE,"2025 Hamburg Pike, Suite L",Wayne,NJ,7470,Heartbeat International,http://www.lighthouseprc.org/,Yes,,,,,,,
"NEW HOPE, INC.",149 3rd Avenue,Westwood,NJ,7675,,http://www.newhopeprc.org/,,https://www.facebook.com/NewHopePRC/,,,,,,
1ST WAY LIFE CENTER,686 North Broad Street,Woodbury,NJ,8096,"The National Life Center, Inc.",http://www.1stwaylifecenter.com/,,https://www.facebook.com/1stwaywoodbury,https://twitter.com/1stwaylife,,,,,
PREGNANCY HELP CENTER,1222 North White Sands Boulevard,Alamogordo,NM,88310,,http://phcalamo.org/phcalamo/,,,,,,,,
BIRTHRIGHT OF ALBUQUERQUE,3228 Candelaria Road NE,Albuquerque,NM,87107,Birthright International,http://birthright.org/en/landingpage/lp-albuquerque,,,,,,,,
CARE NET PREGNANCY CENTER OF ALBUQUERQUE - ALBUQUERQUE,9809 Candelaria Road NE,Albuquerque,NM,87112,Care Net,http://www.Care Netabq.org/,,,,,,,,
PROJECT DEFENDING LIFE,625 San Mateo Boulevard NE,Albuquerque,NM,87108,,http://www.defendinglife.org/womens-pregnancy-options.html,,,,,,,,
PREGNANCY HELP CENTER OF ARTESIA,610 West Quay Avenue,Artesia,NM,88210,Heartbeat International,http://www.pregnancyhelpcenterofartesia.com/,Yes,,,,,,,
PREGNANCY RESOURCE CENTER EASTERN NEW MEXICO - CLOVIS,621 North Main Street,Clovis,NM,88101,Care Net,https://www.pregnancyresourcecenterenm.com/,,,,,,,,
BIRTHRIGHT OF FARMINGTON,609 North Butler Avenue,Farmington,NM,87401,Birthright International,http://birthright.org/en/landingpage/lp-farmington,,,,,,,,
GRACE PLACE PREGNANCY AND HELP CENTER,"4801 North Butler Avenue, Suite #3102",Farmington,NM,87401,Heartbeat International,http://graceplaceforwomen.org/,Yes,,,,,,,
HANDS OF HOPE PREGNANCY CENTER,120 Boardman Drive,Gallup,NM,87301,Care Net,http://www.handsofhopegallup.com/,,,,,,,,
LEGACY PREGNANCY RESOURCE CENTER,403 West Taylor Street,Hobbs,NM,88240,Heartbeat International,http://www.legacyprc.com/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF LAS CRUCES,605 South Solano Drive,Las Cruces,NM,88001,Care Net,http://www.Care Netlascruces.com/,,,,,,,,
TURNING POINT OF LAS CRUCES,"3201 South Main Street, Suite C",Las Cruces,NM,88005,Heartbeat International,https://pregnancylascruces.com/,Yes,,,,,,,
HOPE PREGNANCY CENTER,"1183 Diamond Drive, Suite E",Los Alamos,NM,87544,Care Net,http://www.hpcla.org/,,,,,,,,
CARE NET PREGNANCY CENTER OF VALENCIA COUNTY - LOS LUNAS,"601 Main Street SE, Suite #26",Los Lunas,NM,87031,Care Net,http://www.Care Netabq.org/,,,,,,,,
CARE NET PREGNANCY CENTER OF EAST MOUNTAIN,"809 1st Street, Suite A",Moriarty,NM,87035,Care Net,http://www.Care Netabq.org/,,,,,,,,
PREGNANCY RESOURCE CENTER EASTERN NEW MEXICO - PORTALES,"1412 South Avenue O, Suite A",Portales,NM,88130,Care Net,https://www.pregnancyresourcecenterenm.com/,,,,,,,,
CARE NET PREGNANCY CENTER OF RIO RANCHO,2451 Monterrey Road,Rio Rancho,NM,87144,Care Net,http://www.Care Netabq.org/,,,,,,,,
ORIGINS PREGNANCY CARE CENTER,"2704 Southern Boulevard, Suite #7",Rio Rancho,NM,87124,Heartbeat International,http://originscenter.org/,Yes,,,,,,,
CHAVES COUNTY PREGNANCY RESOURCE CENTER,2003 South Main Street,Roswell,NM,88203,,,,https://www.facebook.com/PRCchaves/,,,,,,
LINCOLN COUNTY PREGNANCY CENTER,"1204 Mechem Drive, Suite 8A",Ruidoso,NM,88345,,,,,,,,,,
CARE NET PREGNANCY RESOURCE CENTER OF SANTA FE,1500 5th Street,Santa Fe,NM,87505,Care Net,http://www.santafepregnancy.com/,,,,,,,,
BIRTHRIGHT OF SOCORRO,"203 Manzaneres Avenue, Suite #16",Socorro,NM,87801,Birthright International,http://birthright.org/en/landingpage/lp-socorro,,,,,,,,
NEW LIFE PREGNANCY CENTER,"105 Bertha Road, Suite D",Taos,NM,87571,Heartbeat International,http://www.pregnancytaos.com/,Yes,,,,,,,
OPEN ARMS PREGNANCY CENTER,209 West 6th Avenue,Truth Or Consequences,NM,87901,Heartbeat International,http://www.openarmspcnm.com/,Yes,,,,,,,
ALPHA PREGNANCY CARE CENTER - ALBANY,518 Clinton Avenue,Albany,NY,12206,Care Net,http://alphacare.org/,,,,,,,,
CARE NET CENTER OF GREATER ORLEANS,"111 West Avenue, Suite #1",Albion,NY,14411,Care Net,http://www.CareNetorleans.net/,,,,,,,,
WHYLIFE MINISTRIES,13179 Broadway Street,Alden,NY,14004,Heartbeat International,http://www.whylifeministries.org/,Yes,,,,,,,
ALPHA PREGNANCY CARE CENTER - AMSTERDAM,211 East Main Street,Amsterdam,NY,12010,Care Net,http://alphacare.org/,,,,,,,,
"THE BRIDGE TO LIFE, INC. - ASTORIA",23-40 Astoria Boulevard,Astoria,NY,11102,Heartbeat International,http://thebridgetolife.org/web/,Yes,,,,,,,
PREGNANCY CARE CENTER OF CAYUGA COUNTY,75 Genesee Street,Auburn,NY,13021,Care Net,http://auburnpregnancycarecenter.com/,,,,,,,,
BIRTHRIGHT OF BALLSTON SPA,40 Front Street,Ballston Spa,NY,12020,Birthright International,http://birthright.org/en/landingpage/lp-ballstonspa,,,,,,,,
ALL BABIES CHERISHED,445 Ellicott Street,Batavia,NY,14020,,https://www.allbabiescherished.com/,,https://www.facebook.com/All-Babies-Cherished-Pregnancy-Assistance-Center-Batavia-NY-14020-1207228432745119/,,,,,,
"PREGNANCY RESOURCE CENTER OF THE VALLEYS, INC. - BATH",22 Liberty Street,Bath,NY,14810,Care Net,http://www.prcvalleys.org/,,https://www.facebook.com/prcotv/,,,,,,
BORO PREGNANCY COUNSELING CENTER,203-6 Rocky Hill Road,Bayside,NY,11361,,http://www.bpcc.org/,,https://www.facebook.com/BoroPregnancyCounselingCenter/,,,,,,
LIFE CHOICES CENTER - BINGHAMTON,93 Oak Street,Binghamton,NY,13905,Care Net,https://lifechoicescenter.org/,,,,,,,,
EXPECTANT MOTHER CARE,344 E 149th St #2,Bronx,NY,10470,,https://emcfrontline.org/,,https://www.facebook.com/expectantmothercare/,,,,,,
FREE ABORTION ALTERNATIVES - CO-OP CITY BRONX,100 Einstein Loop,Bronx,NY,10475,,http://freeabortionalternatives.com/,,,,,,,,
FREE ABORTION ALTERNATIVES - SOUTH BRONX,"344 East 149th Street, 2nd Floor",Bronx,NY,10451,,http://freeabortionalternatives.com/,,,,,,,,
FREE ABORTION ALTERNATIVES - BROOKLYN-MIDWOOD,"1502 East 14th Street, Suite #2",Brooklyn,NY,11230,,http://freeabortionalternatives.com/,,,,,,,,
FREE ABORTION ALTERNATIVES - DOWNTOWN BROOKLYN,"44 Court Street, Suite #915",Brooklyn,NY,11201,,http://freeabortionalternatives.com/,,,,,,,,
LIFE CENTER OF NEW YORK,6802 5th Avenue,Brooklyn,NY,11220,,http://www.lifecenterofny.org/,,,,,,,,
BUFFALO PREGNANCY CARE CENTER,3210 Main Street,Buffalo,NY,14214,,http://www.buffalocare.org/,,,,,,,,
NORTHTOWN PREGNANCY CENTER,2565 Elmwood Avenue,Buffalo,NY,14217,,http://www.northtownpregnancycenter.com/,,,,,,,,
ST. GIANNA MOLLA PREGNANCY CARE CENTER,76 Church Street,Buffalo,NY,14202,,https://www.buffalodiocese.org/st-gianna-molla-center,,,,,,,,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - CAMDEN,101 Main Street,Camden,NY,13316,,http://Care Netcares.com/,,,,,,,,
CARE NET PREGNANCY CENTER OF CANANDAIGUA,"120 North Main Street, Suite #28",Canandaigua,NY,14424,Care Net,http://Care Netcan.org/,,,,,,,,
EMMANUEL HOUSE INTERNATIONAL,12 Fair Street,Carmel,NY,10512,Heartbeat International,http://emmanuelhouseinternational.org/,Yes,https://www.facebook.com/EmmanuelHouseNY/,,,,,,
SOUNDVIEW PREGNANCY SERVICES - CENTEREACH,1919 Middle Country Road,Centereach,NY,11720,Care Net,http://soundviewpregnancyservices.org/,,,,,,,,
ALPHA PREGNANCY CARE CENTER - CLIFTON PARK,516 Moe Road,Clifton Park,NY,12065,Care Net,http://www.alphacare.org/,,,,,,,,
ALPHA PREGNANCY CARE CENTER - COHOES,144 Remsen Street,Cohoes,NY,12047,Care Net,http://alphacare.org/,,,,,,,,
CORTLAND & ITHACA PREGNANCY CENTERS - CORTLAND,4 Church Street,Cortland,NY,13045,Care Net,https://www.ithacapregnancy.com/,,https://www.facebook.com/cortlandpregnancycenter/,,,,,https://www.instagram.com/ithacapregnancy/,
AAA PREGNANCY OPTIONS - DEER PARK,1767 Deer Park Avenue,Deer Park,NY,11729,Heartbeat International,http://www.aaapregnancyoptions.org/,Yes,,,,,,,
SOUNDVIEW PREGNANCY SERVICES - EAST MEADOW,1975 Hempstead Turnpike,East Meadow,NY,11554,,http://soundviewpregnancyservices.org/,,,,,,,,
SOUTHERN TIER PREGNANCY RESOURCE CENTER,375 West Water Street,Elmira,NY,14901,Care Net,http://www.stprc.org/,,https://www.facebook.com/STPRCElmira/?ref=hl,https://twitter.com/SouthernTierPRC,,,https://www.pinterest.com/southerntierprc/,,
BIRTHRIGHT OF FISHKILL,"818 Route 52, Suite #2",Fishkill,NY,12524,Birthright International,http://birthright.org/en/landingpage/lp-fishkill,,,,,,,,
"THE BRIDGE TO LIFE, INC. - FLUSHING","147-32 Sanford Avenue, 2nd Floor",Flushing,NY,11355,Heartbeat International,http://thebridgetolife.org/web/,Yes,,,,,,,
OPEN ARMS PREGNANCY CENTER,471 Glen Street,Glen Falls,NY,12801,Care Net,http://openarmspregnancycenter.com/,,https://www.facebook.com/OApregnancycenter,,,,,,
LIFESAVER MINISTRIES,16 East Pine Street,Gloversville,NY,12078,,http://helpimpregnant.com/,,,,,,,,
TRI-COUNTY CRISIS PREGNANCY CENTER,17 South Water Street,Gowanda,NY,14070,Heartbeat International,,Yes,https://www.facebook.com/Tri-county-Crisis-Pregnancy-Center-162338427310239/,,,,,,
BIRTHRIGHT OF HAMPTON BAYS,99 West Montauk Highway,Hampton Bays,NY,11946,Birthright International,http://birthright.org/en/landingpage/lp-hamptonbays,,,,,,,,
AAA PREGNANCY OPTIONS - HEMPSTEAD,474 Fulton Avenue,Hempstead,NY,11550,Heartbeat International,http://www.aaapregnancyoptions.org/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - HERKIMER,404 West Albany Street,Herkimer,NY,13350,Care Net,http://www.Care Netcares.com/,,,,,,,,
ALIGHT CENTER,192 Fairview Avenue,Hudson,NY,12534,Care Net,http://alightpc.org/,,,,,,,,
BIRTHRIGHT OF ISLIP,533 Main Street,Islip,NY,11751,Birthright International,http://birthright.org/en/landingpage/lp-islip,,,,,,,,
BIRTHRIGHT OF ITHACA,605 West State Street,Ithaca,NY,14850,Birthright International,http://birthright.org/en/landingpage/lp-ithaca,,,,,,,,
CORTLAND & ITHACA PREGNANCY CENTERS - ITHACA,210 West Green Street,Ithaca,NY,14850,Care Net,https://www.ithacapregnancy.com/,,https://www.facebook.com/ithacapregnancycenter/,,,,,https://www.instagram.com/ithacapregnancy/,
FREE ABORTION ALTERNATIVES - QUEENS-JACKSON HEIGHTS,3751 75th Street,Jackson,NY,11372,,http://freeabortionalternatives.com/,,,,,,,,
WOMEN'S SERVICES OF CHAUTAUQUA COUNTY,560 West 3rd Street,Jamestown,NY,14701,Heartbeat International,http://www.pregnant-help.org/,Yes,,,,,,,
BIRTHRIGHT OF BINGHAMTON,"435 Main Street, Suite #126",Johnson City,NY,13790,Birthright International,http://birthright.org/en/landingpage/lp-binghamton,,,,,,,,
BIRTHRIGHT OF KINGSTON,6 Adams Street,Kingston,NY,12401,Birthright International,http://birthright.org/en/landingpage/lp-kingstonny,,,,,,,,
THE BRAVO CENTER OF ULSTER COUNTY - KINGSTON,484 Broadway,Kingston,NY,12401,Care Net,http://www.pscuc.org/,,https://www.facebook.com/pscuc1/,,,,,,
BETHANY CHRISTIAN SERVICES - ALBANY,"410 Troy-Schenectady Road, Suite #202",Latham,NY,12110,,https://www.bethany.org/albany,,,,,,,,
SULLIVAN COUNTY PREGNANCY SUPPORT CENTER,155 North Main Street,Liberty,NY,12754,Care Net,http://www.sullivancountypregnancysupportcenter.org/,,,,,,,,
